Bogota|4.7109886,-74.072092,2554.60961914|2018-10-01T17:10:15|Sunny|23.0|1066.0|43
London|51.5073509,-0.1277583,7.96552228928|2015-12-24T08:09:14|Sunny|-13.0|1083.0|58
Paris|48.856614,2.3522219,32.5269584656|2017-04-29T08:36:02|Sunny|7.0|1060.0|61
Canberra|-35.2809368,149.1300092,566.760009766|2018-06-30T01:29:56|Snow|-18.0|1064.0|83
Delhi|28.7040592,77.1024902,218.043960571|2016-09-09T12:03:23|Sunny|31.0|1085.0|38
Delhi|28.7040592,77.1024902,218.043960571|2015-11-24T15:26:50|Sunny|31.0|1085.0|38
Bogota|4.7109886,-74.072092,2554.60961914|2015-11-05T23:29:21|Sunny|23.0|1066.0|43
Sydney|-33.8688197,151.2092955,24.5399284363|2016-01-24T15:39:11|Snow|-7.0|1060.0|89
Copenhagen|55.6760968,12.5683372,6.26202344894|2017-11-17T00:18:10|Sunny|10.0|1073.0|52
Canberra|-35.2809368,149.1300092,566.760009766|2018-07-02T10:29:44|Snow|-18.0|1064.0|83
Copenhagen|55.6760968,12.5683372,6.26202344894|2014-07-15T12:00:58|Sunny|10.0|1073.0|52
Sydney|-33.8688197,151.2092955,24.5399284363|2015-07-30T17:23:11|Snow|-7.0|1060.0|89
Copenhagen|55.6760968,12.5683372,6.26202344894|2016-11-15T14:04:00|Sunny|10.0|1073.0|52
Algiers|36.753768,3.0587561,39.3097763062|2017-05-30T13:55:39|Sunny|20.0|1050.0|57
Cairo|30.0444196,31.2357116,26.7389431|2018-11-21T05:30:33|Snow|-23.0|1052.0|74
London|51.5073509,-0.1277583,7.96552228928|2015-03-23T17:17:05|Sunny|-13.0|1083.0|58
Bogota|4.7109886,-74.072092,2554.60961914|2014-06-20T10:54:41|Sunny|14.0|70.0|0
Delhi|28.7040592,77.1024902,218.043960571|2018-03-28T22:22:44|Sunny|20.1|69.0|0
Cairo|30.0444196,31.2357116,26.7389431|2018-05-01T12:23:34|Snow|-23.0|1052.0|74
Paris|48.856614,2.3522219,32.5269584656|2014-12-23T03:39:21|Rain|8.6|93.0|1036
